produto;valor_unitario;quantidade;data_venda;codigo_venda;id_loja
Pendrive;1939.71;1;2024-11-09;VND100146;102
Monitor;2653.06;4;2024-03-27;VND100147;104
Impressora;3507.37;8;2024-10-03;VND100148;105
Webcam;4190.64;4;2024-09-21;VND100149;105
Mesa Escritório;3140.27;3;2024-06-27;VND100150;101
Cadeira Gamer;4882.08;7;2024-06-05;VND100151;105
Pendrive;4061.18;7;2025-01-13;VND100152;103
Cadeira Gamer;3035.01;5;2024-09-23;VND100153;101
Monitor;4607.93;7;2024-06-18;VND100154;103
Pendrive;4094.65;9;2024-12-06;VND100155;105
Mesa Escritório;2851.13;10;2024-04-29;VND100156;101
Impressora;164.65;7;2024-06-16;VND100157;102
Impressora;1658.06;1;2024-03-19;VND100158;102
Webcam;4250.44;9;2024-07-05;VND100159;102
Monitor;723.17;9;2024-03-24;VND100160;104
Mouse;480.15;1;2024-10-10;VND100161;105
Headset;2765.77;6;2024-12-06;VND100162;102
Webcam;2794.09;4;2024-05-01;VND100163;101
Headset;3307.77;9;2024-09-13;VND100164;105
Impressora;4531.36;8;2024-11-24;VND100165;102
Mesa Escritório;2859.56;3;2024-10-28;VND100166;102
Mesa Escritório;795.74;10;2024-12-29;VND100167;103
Impressora;2154.58;3;2024-10-16;VND100168;101
Notebook;2472.51;10;2024-09-19;VND100169;101
Impressora;151.48;10;2024-11-01;VND100170;101
Webcam;2434.52;9;2025-02-22;VND100171;103
Mouse;1481.53;8;2024-07-29;VND100172;103
Mesa Escritório;1603.58;8;2024-06-30;VND100173;103
Pendrive;3808.82;1;2024-05-10;VND100174;103
Headset;4991.02;3;2024-09-20;VND100175;103
Cadeira Gamer;4453.3;10;2025-01-09;VND100176;102
Monitor;1466.25;2;2024-05-26;VND100177;102
Pendrive;4994.15;1;2024-07-21;VND100178;102
Cadeira Gamer;4513.19;9;2024-11-27;VND100179;102
Teclado;3904.65;5;2024-05-21;VND100180;101
Pendrive;2793.74;2;2025-03-01;VND100181;101
Cadeira Gamer;4002.12;6;2024-04-24;VND100182;102
Mouse;4334.21;9;2024-08-09;VND100183;103
Pendrive;1014.87;2;2024-11-27;VND100184;104
Cadeira Gamer;1503.23;1;2024-08-05;VND100185;105
Mouse;3333.32;4;2025-02-24;VND100186;105
Cadeira Gamer;3992.12;2;2024-08-27;VND100187;104
Headset;2278.37;9;2024-04-07;VND100188;103
Mesa Escritório;3101.51;9;2024-03-16;VND100189;101
Mesa Escritório;3224.77;4;2024-09-02;VND100190;103
Monitor;1358.89;2;2024-11-16;VND100191;105
Mesa Escritório;1816.84;3;2024-07-29;VND100192;105
Headset;1218.27;4;2024-11-13;VND100193;105
Pendrive;4488.97;9;2025-03-10;VND100194;102
Monitor;1792.89;2;2024-09-20;VND100195;103
Impressora;404.02;1;2025-01-07;VND100196;101
Cadeira Gamer;3555.64;8;2024-06-26;VND100197;102
Monitor;4110.55;3;2024-08-23;VND100198;102
Cadeira Gamer;3171.53;8;2024-06-05;VND100199;101
Mesa Escritório;1229.21;8;2024-08-03;VND100200;104
Mesa Escritório;2557.91;3;2024-05-05;VND100201;103
Teclado;3288.47;1;2024-12-07;VND100202;104
Mouse;1885.47;7;2025-03-08;VND100203;104
Impressora;2877.86;6;2024-11-05;VND100204;105
Mouse;2672.58;1;2024-06-02;VND100205;102
Pendrive;3764.63;1;2024-03-16;VND100206;105
Mouse;3019.5;2;2024-09-07;VND100207;101
Cadeira Gamer;425.68;9;2024-05-16;VND100208;101
Teclado;1027.77;6;2025-01-10;VND100209;105
Monitor;1408.59;3;2024-09-27;VND100210;102
Teclado;1899.9;7;2024-07-17;VND100211;105
Monitor;2295.28;1;2024-11-05;VND100212;103
Cadeira Gamer;1243.72;6;2024-07-23;VND100213;102
Mouse;518.73;3;2024-04-29;VND100214;105
Impressora;2263.01;10;2025-02-15;VND100215;102
Mesa Escritório;3820.99;8;2024-05-17;VND100216;104
Impressora;2675.01;7;2025-02-20;VND100217;103
Notebook;166.57;8;2024-09-07;VND100218;104
Impressora;1375.96;4;2024-05-30;VND100219;103
Headset;4918.33;2;2025-01-28;VND100220;104
Mouse;2968.98;6;2024-04-18;VND100221;104
Pendrive;4040.39;3;2024-12-24;VND100222;103
Notebook;3996.52;1;2024-12-31;VND100223;101
Cadeira Gamer;1804.84;8;2024-12-02;VND100224;105
Mouse;1560.64;4;2024-10-25;VND100225;104
Impressora;3417.7;9;2024-04-08;VND100226;102
Teclado;2655.65;9;2024-05-08;VND100227;101
Mesa Escritório;3804.31;1;2025-02-16;VND100228;103
Pendrive;1487.98;1;2024-05-20;VND100229;104
Cadeira Gamer;1025.11;3;2024-06-19;VND100230;101
Teclado;3938.94;4;2024-10-13;VND100231;102
Impressora;2689.25;7;2024-11-22;VND100232;105
Impressora;1240.52;9;2024-06-23;VND100233;101
Mouse;959.62;6;2025-01-22;VND100234;105
Webcam;1353.55;7;2024-09-09;VND100235;105
Webcam;4185.5;5;2024-12-28;VND100236;104
Monitor;3128.86;4;2025-01-16;VND100237;102
Headset;459.25;8;2024-07-13;VND100238;104
Impressora;925.07;3;2024-04-28;VND100239;104
Cadeira Gamer;1384.51;10;2024-09-12;VND100240;101
Notebook;3291.83;10;2024-08-28;VND100241;105
Pendrive;1242.39;2;2024-09-08;VND100242;105
Cadeira Gamer;4103.02;7;2025-03-08;VND100243;104
Headset;3490.8;7;2025-01-23;VND100244;101
Headset;2207.86;2;2024-04-10;VND100245;105
Teclado;2691.11;6;2025-01-02;VND100246;102
Mesa Escritório;1204.19;10;2025-01-28;VND100247;105
Mesa Escritório;3180.78;9;2024-09-24;VND100248;105
Headset;3130.94;10;2024-09-03;VND100249;103
Mesa Escritório;315.52;10;2024-11-24;VND100250;101
Mesa Escritório;2296.64;2;2025-01-07;VND100251;101
Impressora;4843.19;4;2024-10-25;VND100252;101
Mouse;860.37;10;2024-08-12;VND100253;104
Webcam;3345.86;3;2024-12-24;VND100254;103
Mesa Escritório;1172.65;9;2024-04-15;VND100255;102
Webcam;849.77;9;2024-12-19;VND100256;104
Mesa Escritório;2829.16;10;2025-01-16;VND100257;102
Teclado;252.16;4;2024-09-25;VND100258;104
Webcam;1481.1;6;2025-01-05;VND100259;104
Impressora;3329.2;3;2024-07-25;VND100260;103
Headset;1271.36;6;2024-11-03;VND100261;103
Notebook;4307.4;9;2024-09-07;VND100262;105
Monitor;2200.04;2;2024-10-11;VND100263;105
Pendrive;2694.78;9;2024-06-29;VND100264;101
Webcam;4880.15;3;2025-01-06;VND100265;104
Monitor;4319.68;9;2024-12-06;VND100266;102
Cadeira Gamer;3805.94;5;2025-03-05;VND100267;102
Cadeira Gamer;4073.68;3;2024-08-21;VND100268;101
Cadeira Gamer;1548.77;1;2024-03-20;VND100269;105
Mouse;3914.68;3;2024-08-13;VND100270;101
Cadeira Gamer;2026.93;6;2024-08-07;VND100271;101
Headset;439.57;4;2024-05-11;VND100272;105
Mouse;976.69;3;2024-07-07;VND100273;104
Mesa Escritório;874.83;6;2024-05-04;VND100274;102
Notebook;1729.04;10;2024-05-24;VND100275;105
Impressora;2411.84;10;2024-06-14;VND100276;105
Pendrive;1564.02;10;2024-09-26;VND100277;102
Monitor;3936.45;1;2025-01-15;VND100278;103
Teclado;1956.15;4;2025-02-04;VND100279;103
Mouse;225.78;2;2024-07-11;VND100280;103
Webcam;130.72;7;2024-06-27;VND100281;102
Headset;1334.67;4;2024-03-24;VND100282;104
Pendrive;389.5;6;2024-09-14;VND100283;103
Headset;435.15;7;2024-09-01;VND100284;104
Monitor;1686.3;9;2024-07-08;VND100285;104
Notebook;338.84;1;2024-07-01;VND100286;103
Monitor;4828.72;2;2025-03-14;VND100287;102
Pendrive;4412.94;1;2024-08-02;VND100288;105
Mesa Escritório;2410.77;10;2025-03-11;VND100289;105
Impressora;3437.41;5;2024-05-14;VND100290;104
Notebook;4940.31;10;2024-04-10;VND100291;105
Notebook;3595.25;9;2024-04-14;VND100292;102
Cadeira Gamer;3090.6;9;2024-10-20;VND100293;101
Webcam;888.84;1;2024-07-21;VND100294;101
Webcam;2933.14;4;2024-06-26;VND100295;105
Teclado;4674.41;7;2024-03-29;VND100296;102
Notebook;2348.57;2;2024-06-27;VND100297;103
Impressora;2741.25;10;2025-01-04;VND100298;101
Mesa Escritório;4943.2;2;2024-05-05;VND100299;101
Notebook;805.01;10;2024-11-23;VND100300;104
Mouse;2096.95;8;2024-06-07;VND100301;105
Notebook;984.72;9;2024-11-07;VND100302;101
Pendrive;4265.65;2;2024-05-19;VND100303;103
Cadeira Gamer;2988.96;9;2024-11-24;VND100304;101
Pendrive;4353.49;2;2024-08-10;VND100305;101
Notebook;2474.44;9;2024-09-30;VND100306;102
Monitor;1864.97;8;2024-04-25;VND100307;101
Headset;1778.3;5;2025-02-26;VND100308;105
Cadeira Gamer;1902.42;8;2024-04-01;VND100309;103
Mouse;4138.78;3;2024-04-21;VND100310;102
Mouse;3574.2;7;2024-03-17;VND100311;103
Webcam;304.74;8;2024-09-24;VND100312;102
Notebook;1123.13;5;2024-08-28;VND100313;105
Webcam;4688.75;7;2024-07-25;VND100314;102
Pendrive;3902.89;8;2024-03-21;VND100315;103
Headset;610.03;7;2025-02-23;VND100316;103
Pendrive;3092.54;1;2024-09-02;VND100317;102
Mesa Escritório;3648.73;3;2024-09-27;VND100318;102
Notebook;2774.78;5;2024-05-28;VND100319;103
Impressora;960.56;1;2024-04-02;VND100320;101
Mouse;2964.88;10;2024-12-09;VND100321;105
Webcam;3680.77;4;2024-08-18;VND100322;103
Cadeira Gamer;4242.47;7;2024-08-27;VND100323;103
Cadeira Gamer;2021.13;1;2024-06-09;VND100324;102
Mouse;2282.7;5;2024-04-25;VND100325;105
Notebook;2177.93;8;2025-03-04;VND100326;101
Headset;1892.31;10;2024-08-11;VND100327;105
Mouse;198.24;7;2024-04-07;VND100328;101
Cadeira Gamer;4501.58;7;2025-02-05;VND100329;101
Notebook;3321.9;10;2024-08-31;VND100330;101
Mouse;1469.86;5;2024-04-01;VND100331;104
Webcam;3907.68;10;2024-12-19;VND100332;104
Cadeira Gamer;938.7;7;2024-07-06;VND100333;102
Mouse;1480.31;6;2024-08-15;VND100334;105
Teclado;1039.68;7;2025-01-06;VND100335;103
Mouse;1354.69;7;2024-10-30;VND100336;103
Teclado;661.04;2;2024-09-01;VND100337;102
Pendrive;698.12;7;2024-08-08;VND100338;103
Impressora;2402.54;5;2024-09-04;VND100339;105
Cadeira Gamer;689.17;6;2024-06-03;VND100340;103
Teclado;418.71;3;2024-06-23;VND100341;105
Monitor;2271.18;9;2024-05-25;VND100342;105
Impressora;4044.08;9;2024-10-25;VND100343;104
Mouse;1557.3;7;2025-01-27;VND100344;102
Monitor;2556.0;5;2024-04-05;VND100345;103
Teclado;1892.91;8;2024-05-06;VND100346;101
Impressora;1141.38;7;2024-08-01;VND100347;103
Mesa Escritório;63.54;6;2025-01-05;VND100348;104
Cadeira Gamer;4362.94;9;2024-12-26;VND100349;103
Pendrive;2586.92;1;2024-10-04;VND100350;104
Headset;842.66;5;2024-04-09;VND100351;101
Pendrive;1295.14;7;2024-07-13;VND100352;105
Teclado;2328.37;1;2024-03-27;VND100353;101
Headset;261.24;3;2024-09-20;VND100354;102
Headset;740.61;8;2024-06-01;VND100355;105
Mesa Escritório;4736.46;8;2024-10-30;VND100356;104
Notebook;989.69;3;2024-05-18;VND100357;103
Mesa Escritório;3173.23;6;2025-01-09;VND100358;103
Teclado;4433.56;9;2024-04-14;VND100359;102
Headset;3340.14;9;2024-04-01;VND100360;105
Mouse;2228.12;9;2025-03-05;VND100361;103
Cadeira Gamer;2648.48;10;2024-08-30;VND100362;102
Notebook;4588.45;6;2024-12-23;VND100363;103
Mouse;3137.23;8;2024-12-09;VND100364;103
Teclado;863.64;10;2024-06-21;VND100365;101
Impressora;4887.05;1;2024-06-21;VND100366;105
Pendrive;141.72;7;2025-03-04;VND100367;103
Webcam;1075.11;8;2024-10-05;VND100368;101
Webcam;4466.26;5;2024-05-30;VND100369;102
Mouse;2725.35;10;2024-07-03;VND100370;101
Mouse;2997.11;9;2024-05-29;VND100371;104
Cadeira Gamer;4142.48;7;2024-07-21;VND100372;105
Headset;1915.21;8;2024-04-29;VND100373;101
Webcam;2000.92;3;2024-08-16;VND100374;105
Cadeira Gamer;1000.64;4;2024-09-16;VND100375;102
Headset;1206.76;3;2024-06-18;VND100376;104
Mouse;2628.73;2;2024-12-16;VND100377;105
Impressora;3596.08;4;2024-11-07;VND100378;101
Notebook;588.4;1;2024-11-09;VND100379;102
Notebook;4533.68;3;2024-05-15;VND100380;101
Webcam;4861.6;5;2024-12-01;VND100381;102
Monitor;1283.42;3;2024-08-07;VND100382;105
Impressora;4254.78;6;2025-01-04;VND100383;101
Monitor;2912.47;3;2025-03-09;VND100384;103
Webcam;3676.53;3;2024-08-09;VND100385;102
Mouse;3266.42;6;2024-12-31;VND100386;103
Notebook;2172.91;2;2024-06-02;VND100387;103
Notebook;2857.92;5;2025-03-03;VND100388;102
Monitor;1866.62;10;2024-10-30;VND100389;105
Pendrive;3346.01;9;2024-08-13;VND100390;105
Headset;543.11;2;2024-06-19;VND100391;101
Teclado;2963.08;7;2024-09-05;VND100392;104
Teclado;4116.95;3;2024-08-03;VND100393;105
Mesa Escritório;3587.9;10;2024-03-21;VND100394;102
Mesa Escritório;161.36;7;2024-07-06;VND100395;104
Mouse;1410.1;10;2024-09-07;VND100396;103
Mouse;4752.89;3;2024-10-26;VND100397;104
Teclado;3705.05;4;2024-07-17;VND100398;104
Monitor;2132.32;2;2024-07-14;VND100399;103
Notebook;3371.96;3;2024-11-16;VND100400;102
Notebook;1100.82;6;2024-07-29;VND100401;105
Pendrive;2879.77;7;2025-02-17;VND100402;105
Pendrive;1288.43;8;2024-04-21;VND100403;104
Impressora;3274.62;7;2024-04-18;VND100404;103
Mouse;940.08;1;2025-02-16;VND100405;102
Pendrive;1138.42;3;2024-12-29;VND100406;105
Mesa Escritório;3365.2;4;2024-03-23;VND100407;102
Impressora;1138.17;1;2024-09-03;VND100408;104
Impressora;2430.89;5;2025-01-09;VND100409;104
Webcam;2567.31;7;2024-07-02;VND100410;103
Mesa Escritório;4655.79;3;2024-12-31;VND100411;103
Notebook;2043.46;2;2024-09-21;VND100412;101
Mesa Escritório;3290.98;3;2025-03-12;VND100413;103
Cadeira Gamer;3445.32;2;2024-07-21;VND100414;101
Webcam;3398.47;9;2024-07-25;VND100415;104
Notebook;4135.83;8;2025-02-14;VND100416;102
Pendrive;4575.05;3;2024-09-29;VND100417;105
Pendrive;2519.15;6;2024-12-30;VND100418;104
Monitor;2498.71;6;2025-01-11;VND100419;104
Headset;2033.08;5;2024-10-02;VND100420;105
Mouse;1699.55;1;2024-05-15;VND100421;105
Webcam;2718.27;2;2024-09-09;VND100422;102
Headset;1211.87;3;2024-08-13;VND100423;101
Notebook;1089.16;7;2025-02-12;VND100424;105
Webcam;2021.33;10;2024-08-10;VND100425;104
Teclado;188.84;3;2024-11-11;VND100426;102
Pendrive;4397.71;2;2024-05-09;VND100427;103
Mouse;593.47;10;2024-04-19;VND100428;105
Teclado;1672.94;8;2024-11-30;VND100429;101
Headset;4009.57;7;2024-07-16;VND100430;103
Cadeira Gamer;3254.43;6;2024-11-03;VND100431;104
Webcam;3653.93;2;2024-06-15;VND100432;102
Headset;4513.96;5;2024-07-22;VND100433;105
Mouse;1725.82;7;2024-03-25;VND100434;104
Mouse;4854.01;2;2024-12-17;VND100435;103
Impressora;4764.92;8;2024-09-06;VND100436;105
Notebook;4432.66;1;2024-09-09;VND100437;104
Impressora;102.54;10;2024-05-08;VND100438;104
Teclado;1805.46;6;2024-06-12;VND100439;101
Notebook;2340.73;4;2024-12-18;VND100440;103
Monitor;1565.54;9;2024-12-05;VND100441;102
Mesa Escritório;1326.03;7;2024-08-05;VND100442;102
Notebook;66.97;4;2025-01-08;VND100443;103
Mesa Escritório;107.36;6;2024-08-08;VND100444;103
Notebook;4408.98;4;2024-03-27;VND100445;104
Impressora;60.85;2;2024-04-10;VND100446;105
Cadeira Gamer;696.95;3;2024-07-24;VND100447;104
Teclado;3279.58;10;2024-08-09;VND100448;101
Mesa Escritório;4594.83;3;2024-12-18;VND100449;102
Cadeira Gamer;4264.11;4;2025-03-04;VND100450;103
Webcam;442.6;8;2024-10-18;VND100451;104
Impressora;4120.08;7;2025-02-01;VND100452;101
Monitor;2094.96;2;2024-10-20;VND100453;105
Mesa Escritório;4566.31;3;2025-02-06;VND100454;105
Pendrive;536.5;3;2024-08-31;VND100455;102
Pendrive;2886.0;10;2024-10-19;VND100456;104
Webcam;4114.94;10;2024-09-19;VND100457;105
Headset;139.61;8;2024-06-14;VND100458;102
Mesa Escritório;4070.1;10;2024-09-01;VND100459;103
Teclado;4965.66;7;2024-12-16;VND100460;104
Monitor;2989.55;4;2025-03-14;VND100461;102
Webcam;2182.39;7;2024-07-14;VND100462;101
Monitor;3329.81;1;2025-03-14;VND100463;102
Cadeira Gamer;860.99;6;2025-03-02;VND100464;105
Cadeira Gamer;1539.71;2;2025-03-01;VND100465;103
Webcam;345.13;1;2024-07-31;VND100466;103
Teclado;4692.04;6;2024-08-22;VND100467;102
Mouse;2132.3;4;2024-12-25;VND100468;103
Notebook;3337.31;4;2024-04-08;VND100469;102
Pendrive;1657.6;2;2024-07-09;VND100470;101
Webcam;1183.55;9;2024-10-26;VND100471;101
Impressora;2491.65;8;2024-04-05;VND100472;102
Webcam;2604.55;5;2025-03-01;VND100473;101
Teclado;2678.12;2;2025-03-06;VND100474;105
Impressora;3093.37;1;2024-04-08;VND100475;104
Monitor;3867.11;9;2025-02-09;VND100476;101
Notebook;198.02;1;2024-10-29;VND100477;102
Cadeira Gamer;2456.2;1;2024-10-02;VND100478;101
Webcam;4927.47;5;2024-06-12;VND100479;101
Webcam;3104.79;6;2024-07-25;VND100480;101
Headset;1394.38;4;2025-01-02;VND100481;105
Notebook;4156.22;10;2024-09-11;VND100482;101
Webcam;2132.13;2;2024-08-20;VND100483;102
Pendrive;2770.34;2;2024-10-18;VND100484;103
Notebook;2584.19;4;2024-07-03;VND100485;102
Notebook;3344.54;9;2024-11-06;VND100486;102
Headset;2717.26;10;2024-08-06;VND100487;105
Teclado;3174.76;3;2024-09-13;VND100488;103
Headset;515.98;4;2024-05-25;VND100489;103
Mouse;1097.87;4;2024-04-19;VND100490;103
Cadeira Gamer;1421.25;7;2025-03-16;VND100491;101
Cadeira Gamer;1961.01;10;2024-07-01;VND100492;101
Headset;876.0;4;2024-08-30;VND100493;102
Monitor;1530.69;5;2024-05-22;VND100494;102
Impressora;93.02;3;2025-03-16;VND100495;105
Cadeira Gamer;4322.15;2;2024-05-30;VND100496;102
Mesa Escritório;1275.12;6;2024-05-27;VND100497;103
Webcam;4790.23;3;2025-02-08;VND100498;103
Cadeira Gamer;2555.53;10;2024-05-13;VND100499;101
Cadeira Gamer;1621.85;9;2025-03-08;VND100500;104
Impressora;4173.5;9;2024-07-15;VND100501;103
Monitor;1245.13;3;2025-03-14;VND100502;102
Notebook;3101.82;6;2024-06-26;VND100503;104
Teclado;2612.87;4;2024-06-06;VND100504;104
Headset;3060.86;9;2025-01-26;VND100505;104
Monitor;1182.32;3;2024-10-01;VND100506;105
Impressora;3059.25;8;2024-11-20;VND100507;102
Mesa Escritório;2573.61;10;2024-04-30;VND100508;102
Mesa Escritório;1988.6;2;2024-05-15;VND100509;105
Mesa Escritório;2252.0;2;2024-12-06;VND100510;104
Monitor;2418.35;3;2024-06-04;VND100511;102
Notebook;3002.86;7;2024-07-08;VND100512;104
Notebook;4726.69;7;2024-06-28;VND100513;102
Notebook;3504.64;9;2024-06-26;VND100514;103
Teclado;4903.93;9;2024-10-18;VND100515;103
Cadeira Gamer;1578.54;8;2024-12-11;VND100516;103
Mesa Escritório;1890.37;9;2024-08-04;VND100517;105
Notebook;647.99;1;2024-05-19;VND100518;105
Mouse;4814.73;9;2024-12-10;VND100519;101
